name,주소,위도,경도
방배먹자골목 입구,서울 서초구 방배로 87,37.482111,126.996944
신당동떡볶이 입구,서울 중구 신당동 292-8?,37.562622,127.014974
건설회관 건너,서울 강남구 논현동 114,37.516889,127.035861
가락2동주민센터 뒤,서울 송파구 가락동 154?,37.49867,127.12659
싸리재공원,서울 서초구 잠원동 30-10,37.513368,127.018245
숙명여대입구 사거리,서울 용산구 청파동3가 13-1?,37.545,126.970302
서초중앙교회 앞,서울 서초구 서초대로62길 9-22,37.494852,127.020536
영등포농협 가산디지털지점,서울 금천구 가산동 140-6?,37.478716,126.890114
신영오피스텔 앞,서울 서대문구 홍은동 427-4?,37.58191,126.93655
세븐일레븐 방배무지개점,서울 서초구 방배동 481-1,37.476004,126.987604
홈플러스 강서점 (3기),서울 강서구 화곡로 398?,37.558452,126.854702
홈플러스익스프레스 압구정점,서울 강남구 압구정로 46길 5-2?,37.528056,127.036833
가구인,서울 중구 을지로4가 196-1?,37.565912,126.998373
기업은행 독산동점,서울 금천구 독산동 1030-7,37.46682,126.898185
낙원빌딩 앞,서울 종로구 낙원동 238-2,37.572572,126.988499
언구비공영주차장,서울 서초구 반포동 741-3,37.504709,127.020934
동묘역 3번출구 건너,서울 종로구 숭인동 238-1,37.572942,127.018287
휘경SK뷰아파트 앞,서울 동대문구 휘경동 372-1,37.593536,127.065012
백년설렁탕 앞,서울 성북구 삼선동2가 34-2,37.588179,127.009743
성북1치안센터,서울 성북구 성북동1가 75?,37.590157,127.003957
천호공원사거리,서울 강동구 천호동 323-6?,37.54577,127.125731
반포라인아파트,서울 서초구 서래로10길 26?,37.49885,126.99996
DNA태백상사대리점,서울 금천구 가산로 25,37.471129,126.900005
DNA남서울대리점,서울 영등포구 영신로 1길 1,37.51156,126.90978
DNA서울이륜대리점,서울 성북구 보문로 68-1,37.581533,127.021663
덕산빌딩 앞,서울 양천구 신월동 790,37.533831,126.829995
하나은행화양지점,서울 광진구 화양동 21-49,37.548066,127.068028
센트럴빌 오피스텔,서울 광진구 구의동 253-19,37.544785,127.083318
장안어린이공원,서울 서초구 서초동(서초3동) 1740-9,37.491583,127.011619
분토골어린이공원,서울 서초구 서초동 1744-2,37.4881,127.017486
사도감어린이공원,서울 서초구 서초동 1406,37.4857,127.031068
두둑재공원,서울 서초구 양재동 349-23,37.467942,127.04436
DNA우성대리점,서울 중랑구 동일로 647,37.588243,127.079729
현대성우아파트,서울 강북구 미아동 561-2,37.617203,127.022124
홈플러스익스프레스 신길3점,서울 영등포구 신길동 259-4,37.506096,126.909529
송중동주민센터,서울 강북구 미아동 87-141,37.616092,127.03379
우리은행수유점앞,서울 강북구 수유동 191-1,37.639556,127.026884
대한주택공사 옆,서울 강남구 논현동 254,37.514259,127.041085
KT영동지사 건너,서울 강남구 역삼동 700-2,37.50483,127.042239
삼성우체국,서울 강남구 삼성동 132,37.509176,127.044583
한림국제대학원,서울 강남구 대치동 907-13,37.500943,127.051431
경우매장 앞,서울 강남구 개포동 167-6,37.482391,127.061136
지성빌딩 앞 마을버스정류장,서울 강남구 개포동 1229-4,37.477316,127.045327
홈플러스익스프레스 오류점,서울 구로구 오류동 160,37.491461,126.839683
홈플러스익스프레스 응암점,서울 은평구 응암동 124-17,37.594208,126.917808
AJ파크 을지로3가점,서울 중구 초동 17-1,37.565263,126.992991
AJ파크방배점 (2기),서울 서초구 명달로 45 ,37.4796,127.004217
덕영빌딩 앞,서울 중구 신당동 369-22,37.55566,127.011436
델리셔스제과점,서울 중랑구 중화동 320-3?,37.59662,127.075551
공릉동전통시장 입구,서울 노원구 공릉동 567-4,37.622538,127.074325
기업은행 상계지점,서울 노원구 상계동 93-4,37.666036,127.077582
대동청솔아파트,서울 노원구 상계동 181-31,37.657908,127.07155
신정주유소,서울 양천구 신정동 1092,37.519896,126.853097
가고파슈퍼 앞,서울 동작구 사당동 276-3,37.481777,126.971531
사당천주교 옆,서울 동작구 사당동 1096,37.482103,126.97983
빙수골마을공원,서울 동작구 상도동 292-56,37.495943,126.932902
우리은행신당역지점,서울 중구 흥인동 29,37.565748,127.017488
염창동동산약국,서울 강서구 염창동 284-12,37.555663,126.865437
불어나부동산 옆,서울 서대문구 홍제동 266-156,37.592741,126.947416
연희종로약국 앞,서울 서대문구 연희동 137-1,37.567784,126.931366
서대문소방서119구조대 앞,서울 서대문구 연희동 81-10,37.571804,126.934583
우리은행아현역점 뒤,서울 서대문구 북아현동 135-4,37.557655,126.956755
라마다호텔,서울 중구 을지로 5가 275-5,37.565686,127.002739
대도빌라,서울 동작구 사당동 176-30,37.490841,126.970657
한일합섬 앞,서울 강남구 역삼동 836,37.491944,127.032917
성창상가앞 36동건너,서울 강남구 신사동 667-35,37.526035,127.028469
한국타이어 성수점,서울 성동구 성수동 1가 656-611,37.551271,127.045414
서울성심병원,서울 동대문구 청량리동 35,37.584506,127.050308
CU청구역점 앞,서울 중구 신당동 387-3,37.56096,127.011986
파라다이스아파트 뒤,서울 중구 신당동 50-13,37.562698,127.017634
푸르지오시티 앞,서울 강북구 미아동 160-3,37.634265,127.023828
난곡사거리,서울 관악구 신림동 527,37.482522,126.91481
KT청량지사 앞,서울 동대문구 청량리동 368,37.585588,127.044062
구로전화국사거리,서울 금천구 독산동 996,37.480091,126.90449
무지개그린아트길 건너,서울 도봉구 쌍문동 512-2,37.658778,127.014152
스위트가든,서울 도봉구 방학로5길 16,37.661931,127.03746
편안한요양병원,서울 광진구 자양동 685,37.531735,127.086349
중곡메디칼약국 앞,서울 광진구 중곡동 266-5,37.557637,127.088128
일호약국 앞,서울 은평구 구산동 202-1,37.61404673,126.9101633
명지대정문 옆,서울 서대문구 남가좌동 50-3,37.58017,126.923133
당산SH빌아파트,서울 영등포구 당산동3가 2-5,37.524855,126.902057
공덕동주민센터,서울 마포구 공덕동 29-6,37.550167,126.960044
다이소합정동점?앞,서울 마포구 합정동 412-22,37.548342,126.917179
중앙빌딩 앞,서울 광진구 긴고랑로 14,37.56368532,127.0777841
성수우성2차아파트 옆,서울 성동구 성수동2가 837,37.540901,127.058236
방이1동주민센터 뒤,서울 송파구 방이동 200,37.510883,127.123984
문정현대아파트 옆,서울 송파구 문정동 104,37.485761,127.130387
발산1동사무소 건너,서울 강서구 내발산동 687-1,37.552884,126.832382
참요양병원,서울 강서구 화곡동 1052-6,37.542825,126.839629
청수약국 옆,서울 은평구 녹번동 141-90,37.608535,126.926422
연신내경희한의원,서울 은평구 불광동 357-13,37.620941,126.924994
송파참설농탕,서울 송파구 송파동 1-9,37.509049,127.111667
오금동사거리 버스정류장,서울 송파구 오금동 127-16,37.502766,127.137765
SC제일은행 개봉동지점,서울 구로구 개봉동 403-77,37.488491,126.856421
태양어린이공원,서울 관악구 신림동 1540,37.469127,126.936526
또바기기사식당,서울 관악구 봉천동 982-4,37.486312,126.937252
경남아너스빌아파트 입구,서울 동작구 사당로9가길 58,37.487453,126.968688
화인빌딩 앞,서울 강남구 개포동 1211-8,37.478503,127.051981
우리은행 대림동지점,서울 동작구 신대방동 607-7,37.4898175,126.907706
신성빌딩(보생사약국),서울 영등포구 신길동 470-1,37.513002,126.922783
KT동작지사 앞 대방동,서울 동작구 대방동 45-52,37.512342,126.934332
강남교회 뒤,서울 동작구 만양로8길 69,37.51037,126.945486
우리은행 가락남부지점,서울 송파구 가락동 137,37.492829,127.128195
빌라드그리움,서울 송파구 석촌동 256-5,37.500219,127.104091
삼전지구대 앞,서울 송파구 삼전동 86,37.502814,127.092632
SC제일은행 자양서지점,서울 광진구 자양동 580-13,37.533429,127.075467
서울숲힐스테이트A 101동앞도로,서울 성동구 성수동2가 334-3,37.541628,127.051151
에이스침대,서울 광진구 중곡동 636-5,37.559103,127.075502
용마빌라,서울 광진구 중곡동 18-25,37.566335,127.086856
동작교육구청,서울 동작구 상도동 175-1,37.50318702,126.9405858
우리식품 건너,서울 동작구 상도1동 508-1,37.507278,126.95144
동양중학교,서울 동작구 본동 485-2,37.50941,126.954742
삼호아파트 2동앞,서울 서초구 방배동 769-2,37.495295,126.986362
상명달공원,서울 서초구 서초동 1747-1,37.482181,127.005693
유한공고버스정류장,서울 구로구 오류동 108-74,37.48945,126.825318
하나로농협 앞 가양1동,서울 강서구 가양동 150-34,37.568652,126.841524
유동빌딩 앞,서울 강서구 염창동 263-8,37.549052,126.875639
수색우체국 앞,서울 은평구 수색동 101-7,37.581742,126.89654
리드힐병원,서울 은평구 역촌동 44-34,37.599926,126.916796
금화초교정류장,서울 서대문구 냉천동 221-1,37.567852,126.964367
새꿈어린이공원,서울 용산구 동자동 19-107,37.552281,126.974288
다이소 효창공원역점,서울 용산구 용문동 5-133,37.538853,126.960941
289종점 위 서림동,서울 관악구 신림동 131-19,37.470903,126.939097
윤희빌딩 앞,서울 강남구 역삼동 730-5,37.499162,127.043991
역삼SK리더스뷰,서울 강남구 역삼동 680,37.50871,127.039343
논현성당,서울 강남구 논현동 175,37.510302,127.031884
화곡1동 유림노르웨이숲아파트,서울 강서구 화곡동 919-1,37.530174,126.843902
모래내어린이공원,서울 관악구 봉천동 1613-19,37.477853,126.955512
집앤사비키아파트,서울 강동구 성내동 545-8,37.527428,127.128658
라벨르빌딩,서울 마포구 신수동 49-6,37.547484,126.938995
번동프라자약국,서울 강북구 번동 430-68,37.634859,127.035529
창동레지던시,서울 도봉구 창동 601-107,37.640701,127.039412
풍납토성,서울 송파구 풍납동 155-2,37.53442,127.119545
강남면허시험장 건너,서울 강남구 대치동 999-5,37.507972,127.066815
가산동삼거리 입구,서울 금천구 가산동 239-27,37.47437,126.88687
수락산역 1번출구 뒤,서울 노원구 상계동 1268,37.678981,127.055813
세민하이파크아파트 건너,서울 은평구 신사동 30-10,37.596056,126.909933
다원아파트 앞,서울 은평구 응암동 107-2,37.597492,126.920508
희망약국,서울 은평구 대조동 224-26,37.611162,126.91786
주성드림팰리스,서울 송파구 가락동 160,37.501122,127.128851
대우약국,서울 중랑구 묵동 182-21,37.606426,127.078856
망우1동우체국,서울 중랑구 망우동 340-27,37.600367,127.1016
DNA남부오토바이,서울 금천구 독산동 952-14,37.479235,126.901735
DNA서부기동점,서울 영등포구 신길동 215-5,37.511269,126.912167
모자인,서울 마포구 창전동 15-9,37.549769,126.931869
DNA종합모터스,서울 동대문구 답십리동 1-45,37.574168,127.066834
CU신림카페점,서울 관악구 신림로 228,37.477704,126.936146
CU명지전문대점,서울 서대문구 홍은동 346-2,37.584299,126.923816
